year,name,underwriter,listing_date,market,code,price_range,price_final,price_before1,price_before2,grade,grade_votes,reader_forecast,reader_forecast_n,stance_bars,hatsune_bars,hatsune,vote_status,detail_url
2010,日本メディカルネットコミュニケーションズ,大和,12/21(火),東M,3645,740-840,840,"1,500","1,400",A,8,,,"0,0,0,0,0","0,0,0,0,0","1,750",締切,https://kabu.96ut.com/article/ipo/2010022/
2010,テラプローブ,野村,12/16(木),東M,6627,"3,000-3,350","3,000","2,700","2,700",D,2,,,"0,0,0,0,0","0,0,0,0,0","2,775",締切,https://kabu.96ut.com/article/ipo/2010020/
2010,大塚ホールディングス,野村,12/15(水),東1,4578,"2,000-2,400","2,100","2,700","2,250",A,8,,,"0,0,0,0,0","0,0,0,0,0","2,170",締切,https://kabu.96ut.com/article/ipo/2010021/
2010,ポーラ・オルビスホールディングス,野村,12/10(金),東1,4927,"1,600-1,800","1,800","1,900","2,000",C,5,,,"0,0,0,0,0","0,0,0,0,0","1,693",締切,https://kabu.96ut.com/article/ipo/2010019/
2010,1stホールディングス,大和,12/01(水),JQS,3644,630-700,630,630,580,D,3,,,"0,0,0,0,0","0,0,0,0,0",570,締切,https://kabu.96ut.com/article/ipo/2010018/
2010,イー・ガーディアン,野村,12/01(水),東M,6050,"1,200-1,300","1,300","2,500","2,500",A,9,,,"0,0,0,0,0","0,0,0,0,0","3,000",締切,https://kabu.96ut.com/article/ipo/2010017/
2010,トランザクション,野村,10/12(火),JQS,7818,"1,300-1,700","1,400",未,-,C,5,,,"0,0,0,0,0","0,0,0,0,0","1,295",締切,https://kabu.96ut.com/article/ipo/2010016/
2010,フーマイスターエレクトロニクス,野村,09/15(水),JQ,3165,"1,000-1,300","1,000",未,-,D,1,,,"0,0,0,0,0","0,0,0,0,0",970,締切,https://kabu.96ut.com/article/ipo/2010015/
2010,ＦＰＧ,野村,09/07(火),JQ,7148,"3,300-3,950","3,300",未,-,D,2,,,"0,0,0,0,0","0,0,0,0,0","3,300",締切,https://kabu.96ut.com/article/ipo/2010014/
2010,アイ・ケイ・ケイ,野村,07/23(金),JQ,2198,"1,220-1,320","1,320",未,-,B,6,,,"0,0,0,0,0","0,0,0,0,0","1,112",締切,https://kabu.96ut.com/article/ipo/2010013/
